33_LED1:1
BOOT_SW1:1
C1:1
C13:1
C14:1
C15:1
C16:1
C17:1
C2:1
D7:1
J1:1
J2:1
J3:1
NEOPIXEL1:1
NEOPIXEL2:1
NEOPIXEL3:1
PWR_C1:1
Q2:1
Q3:1
R2:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:3
SW1:1
SW2:1
SW3:1
U1:1
U2:1
U3:1
